Source / Medium,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Ecommerce Conversion Rate,Transactions,Revenue
google / cpc,407950,344502,723208,62.19%,3.56,176.03,0.91%,6566,6656088123.79439
youtube / social,77785,55537,163447,78.81%,2.24,89.94,0.59%,957,842907936.033633
(direct) / (none),64653,60181,108534,55.33%,4.12,200.43,0.97%,1048,1040851446.85449
facebook / social,48721,32781,176662,84.40%,1.86,73.21,0.28%,500,534485686.268854
youtube.com / referral,27718,17774,42464,63.92%,2.98,148.44,1.20%,508,402541914.820167
m.facebook.com / referral,14373,10110,17631,69.97%,2.24,87.39,0.72%,127,114188784.447475
l.facebook.com / referral,3661,1712,7144,37.05%,6.87,736.73,1.44%,103,150801642.129314
zalo / zalo,2782,2400,4029,66.84%,2.53,147.25,1.07%,43,37327813.2666094
youtube / (not set),1741,875,2311,79.45%,2.08,68.36,0.30%,7,9263413.71711567
facebook.com / referral,1594,694,2557,49.59%,4.67,288.27,1.13%,29,20931450.2126899
googleapis.com / referral,1411,742,2823,68.26%,3.17,145.96,0.18%,5,11520691.4533985
instagram / social,1210,336,1402,84.81%,1.85,75.77,0.29%,4,3550773.96718645
newsletter / email,781,393,2168,40.45%,5.88,332.00,2.81%,61,98910794.4185948
yahoo / organic,451,367,629,54.05%,4.36,244.82,2.23%,14,9746572.60336497
bing / organic,336,277,520,51.35%,5.15,268.02,0.96%,5,6859998.68490444
newsletter / email,300,171,662,44.41%,5.34,282.29,3.32%,22,16729701.018186
vn.search.yahoo.com / local_display,231,190,327,52.29%,4.66,249.28,0.92%,3,5419157.41182504
newsletter / email,228,108,517,46.42%,5.67,268.31,1.35%,7,2548344.58189232
lm.facebook.com / referral,147,44,248,41.94%,5.03,267.21,1.61%,4,2125633.3953225
l.messenger.com / local_display,142,57,264,43.18%,4.98,298.10,3.79%,10,12305726.514171
123.20.207.23 / local_display,75,30,243,31.28%,6.46,306.96,1.23%,3,4577358.27742743
duckduckgo / organic,71,56,98,59.18%,4.88,226.42,2.04%,2,1594225.04649188
coccoc.com / local_display,56,42,130,54.62%,3.30,148.47,0.00%,0,0
ecosia.org / local_display,53,45,74,43.24%,4.62,190.45,1.35%,1,458943.573990085
linhkiendoc.com / local_display,48,12,83,66.27%,4.10,172.34,2.41%,2,6111196.01155219
ecosia.org / organic,40,35,55,47.27%,5.49,290.13,0.00%,0,0
mlr.itim.vn / local_display,25,24,25,80.00%,1.20,13.28,0.00%,0,0
tinhte.vn / local_display,21,6,66,31.82%,5.85,386.74,1.52%,1,1195668.78486891
yandex / organic,21,20,21,85.71%,1.14,3.29,0.00%,0,0
l.workplace.com / local_display,17,10,31,61.29%,3.03,313.26,9.68%,3,7826195.6827783
baidu.com / local_display,16,16,16,100.00%,1.00,0.00,0.00%,0,0
l.instagram.com / referral,16,14,89,10.11%,13.01,3379.36,0.00%,0,0
m.youtube.com / referral,15,15,16,75.00%,1.50,25.19,0.00%,0,0
vnexpress.net / local_display,11,0,105,31.43%,5.73,224.71,2.86%,3,4239189.32817158
us20.campaign-archive.com / local_display,9,2,15,13.33%,9.00,270.67,0.00%,0,0
yandex.ru / local_display,9,8,10,90.00%,1.10,3.30,0.00%,0,0
twitter / social,8,0,33,21.21%,8.30,243.88,0.00%,0,0
googleweblight.com / referral,7,6,9,33.33%,5.00,213.00,11.11%,1,157007.012154503
mailchi.mp / referral,7,3,7,42.86%,3.86,130.00,0.00%,0,0
us7.campaign-archive.com / local_display,7,4,10,50.00%,3.20,110.30,0.00%,0,0
cn.bing.com / local_display,6,6,7,85.71%,1.14,9.00,0.00%,0,0
websosanh.vn / local_display,6,1,15,40.00%,5.80,167.27,0.00%,0,0
adguard.com / local_display,5,3,7,42.86%,6.00,234.14,0.00%,0,0
cuahangtcs.com / local_display,5,0,28,39.29%,5.82,389.50,0.00%,0,0
google / cpc,5,2,8,25.00%,2.25,68.50,0.00%,0,0
google.com / referral,5,4,5,80.00%,1.20,157.60,0.00%,0,0
news.zing.vn / local_display,5,0,14,57.14%,3.71,161.00,7.14%,1,567640.736250895
ttvnol.com / local_display,5,2,5,100.00%,1.00,0.00,0.00%,0,0
webredirect.garenanow.com / local_display,5,4,5,100.00%,1.00,0.00,0.00%,0,0
genk.vn / local_display,4,2,11,90.91%,1.73,14.73,0.00%,0,0
getpocket.com / local_display,4,0,8,25.00%,7.88,138.13,12.50%,1,640105.511091435
ahrefs.tool.buyseotools.io / local_display,3,2,5,80.00%,3.60,61.20,0.00%,0,0
ahrefs3.tool.buyseotools.io / local_display,3,1,7,57.14%,1.57,248.29,0.00%,0,0
ankersacnhanh.com / local_display,3,3,3,100.00%,1.00,0.00,0.00%,0,0
bit.ly / local_display,3,0,6,50.00%,2.83,124.50,0.00%,0,0
instagram.com / referral,3,3,3,100.00%,1.00,0.00,0.00%,0,0
m.genk.vn / local_display,3,0,11,63.64%,2.18,301.09,0.00%,0,0
m.kenh14.vn / local_display,3,0,10,40.00%,3.00,45.50,0.00%,0,0
muare.club / local_display,3,1,4,25.00%,4.00,80.75,0.00%,0,0
new-cms.icheck.com.vn / local_display,3,2,4,50.00%,1.50,2.75,0.00%,0,0
out.easycounter.com / local_display,3,0,5,40.00%,9.20,509.20,0.00%,0,0
xvideos.com / local_display,3,2,3,33.33%,1.67,508.33,0.00%,0,0
24h.com.vn / local_display,2,0,14,35.71%,4.14,213.64,0.00%,0,0
ahrefs2.tool.buyseotools.io / local_display,2,1,2,50.00%,2.00,44.00,0.00%,0,0
ameblo.top / local_display,2,2,2,100.00%,1.00,0.00,0.00%,0,0
baomoi.com / local_display,2,0,4,75.00%,1.50,15.75,0.00%,0,0
cellphones.com.vn / local_display,2,0,5,80.00%,4.20,207.60,0.00%,0,0
